bettor_archetype,defender_archetype,hand,avg_ev_bb,n_boards_used
Nit,LAG,Q4o,1.6223544965034913,8
Nit,LAG,22,1.7770569606630229,8
Nit,LAG,98o,1.6330805340185521,8
Nit,LAG,Q2s,1.7540578609913058,8
Nit,LAG,T8o,1.6223544965034913,8
Nit,LAG,Q3o,1.7254894726098455,8
Nit,LAG,J6o,1.6739219845566686,8
Nit,LAG,J5o,1.7576675851550285,8
Nit,LAG,J2s,1.7046562074363618,8
Nit,LAG,T4s,1.7444663082134146,8
Nit,LAG,T3s,1.682791592501815,8
Nit,LAG,97o,1.6310178344964252,8
Nit,LAG,87s,1.7335340007461415,8
Nit,LAG,96o,1.6841323471911975,8
Nit,LAG,T4o,1.6223544965034913,8
Nit,LAG,T5s,1.803872054450675,8
Nit,LAG,T6s,1.6832041324062403,8
Nit,LAG,85s,1.823158294982563,8
Nit,LAG,J3o,1.6787693284336669,8
Nit,LAG,76s,1.8107305303617474,8
Nit,LAG,95s,1.81660922399981,8
Nit,LAG,T7o,1.7224985583027612,8
Nit,LAG,T2s,1.7542641309435183,8
Nit,LAG,T5o,1.741372258930224,8
Nit,LAG,93s,1.6930535226243975,8
Nit,LAG,95o,1.7529749437421893,8
Nit,LAG,75s,1.853376842981725,8
Nit,LAG,Q2o,1.7254894726098455,8
Nit,LAG,87o,1.668765235751351,8
Nit,LAG,86s,1.7036248576752988,8
Nit,LAG,94s,1.7470446826160742,8
Nit,LAG,85o,1.760555364486006,8
Nit,LAG,92s,1.7636494137691967,8
Nit,LAG,T3o,1.7254894726098455,8
Nit,LAG,86o,1.6739219845566686,8
Nit,LAG,T6o,1.7254894726098455,8
Nit,LAG,93o,1.7254894726098455,8
Nit,LAG,J2o,1.7305430864390572,8
Nit,LAG,65s,1.8195485708188408,8
Nit,LAG,76o,1.7533359161585613,8
Nit,LAG,74s,1.786700080928967,8
Nit,LAG,73s,1.7295633041660468,8
Nit,LAG,83s,1.6364839882300621,8
Nit,LAG,84o,1.5707870084503144,8
Nit,LAG,T2o,1.7254894726098455,8
Nit,LAG,84s,1.6864013166655374,8
Nit,LAG,54s,1.842238265562239,8
Nit,LAG,53s,1.7760256109019592,8
Nit,LAG,75o,1.7890721853794131,8
Nit,LAG,64s,1.7695281074072589,8
Nit,LAG,92o,1.7856687311679034,8
Nit,LAG,82s,1.7211578036133788,8
Nit,LAG,74o,1.6700028554646273,8
Nit,LAG,64o,1.6510260198610576,8
Nit,LAG,43s,1.691248660542536,8
Nit,LAG,82o,1.7254894726098455,8
Nit,LAG,94o,1.6314819418889037,8
Nit,LAG,65o,1.7633400088408777,8
Nit,LAG,73o,1.7730346965948747,8
Nit,LAG,72s,1.7996435204303145,8
Nit,LAG,63s,1.6936207649929822,8
Nit,LAG,53o,1.8801919367693771,8
Nit,LAG,32s,1.7796353350656817,8
Nit,LAG,83o,1.6739219845566682,8
Nit,LAG,62s,1.8513141434595979,8
Nit,LAG,42s,1.7549860757762632,8
Nit,LAG,52s,1.83965989115958,8
Nit,LAG,62o,1.809441343160418,8
Nit,LAG,72o,1.8244474821838925,8
Nit,LAG,54o,1.815938846655118,8
Nit,LAG,63o,1.7362155101249064,8
Nit,LAG,32o,1.7254894726098455,8
Nit,LAG,52o,1.8462605296303862,8
Nit,LAG,42o,1.7770569606630224,8
Nit,LAG,43o,1.7254894726098455,8
Nit,Loose-passive,AA,2.1410226242855153,8
Nit,Loose-passive,KK,2.1713525538822624,8
Nit,Loose-passive,QQ,1.8950864560336305,8
Nit,Loose-passive,JJ,1.959642452428288,8
Nit,Loose-passive,TT,1.8215993143624605,8
Nit,Loose-passive,99,1.772148342193851,8
Nit,Loose-passive,88,1.9068947487817711,8
Nit,Loose-passive,AKs,1.9846376710880578,8
Nit,Loose-passive,77,1.8115892387840875,8
Nit,Loose-passive,AKo,1.9914109557608493,8
Nit,Loose-passive,AJo,1.9091724905301435,8
Nit,Loose-passive,AQo,1.8988627120901427,8
Nit,Loose-passive,AQs,1.8929285954299095,8
Nit,Loose-passive,A9o,1.830530459638973,8
Nit,Loose-passive,A7o,1.9429190327494492,8
Nit,Loose-passive,KJs,1.9006009886875845,8
Nit,Loose-passive,QJs,1.8566645491729292,8
Nit,Loose-passive,A7s,1.9410009344350305,8
Nit,Loose-passive,A9s,1.8914900216940953,8
Nit,Loose-passive,KTo,1.9501718420008451,8
Nit,Loose-passive,A8o,1.8333476665382757,8
Nit,Loose-passive,AJs,1.8903511508199091,8
Nit,Loose-passive,ATs,1.8926288925682815,8
Nit,Loose-passive,K9s,1.954127919774334,8
Nit,Loose-passive,55,2.118964493669699,8
Nit,Loose-passive,66,1.817463414871995,8
Nit,Loose-passive,KQs,1.8981434252222353,8
Nit,Loose-passive,A8s,1.8326283796703686,8
Nit,Loose-passive,ATo,1.9160057157752606,8
Nit,Loose-passive,A5s,1.9794827818680576,8
Nit,Loose-passive,QTs,2.02413850825062,8
Nit,Loose-passive,K8s,1.8827986387068851,8
Nit,Loose-passive,KTs,1.9476543379631706,8
Nit,Loose-passive,A4s,1.9698922902959635,8
Nit,Loose-passive,KJo,2.007355147999456,8
Nit,Loose-passive,K5s,1.9717504480380568,8
Nit,Loose-passive,A6s,1.833467547682927,8
Nit,Loose-passive,K9o,1.8933481794361886,8
Nit,Loose-passive,A3s,1.832988023104322,8
Nit,Loose-passive,44,1.8521090656761845,8
Nit,Loose-passive,KQo,1.9367451537999136,8
Nit,Loose-passive,K7s,1.9968056072701523,8
Nit,Loose-passive,Q8s,1.8485126313366493,8
Nit,Loose-passive,A5o,1.9806815933145692,8
Nit,Loose-passive,Q5s,1.9864958288301513,8
Nit,Loose-passive,A4o,1.9110306482722368,8
Nit,Loose-passive,Q9o,1.772148342193851,8
Nit,Loose-passive,QTo,1.9314104428629364,8
Nit,Loose-passive,Q9s,1.9206810804166563,8
Nit,Loose-passive,A6o,1.9526294054661943,8
Nit,Loose-passive,A2s,2.001301150194571,8
Nit,Loose-passive,JTs,1.8542669262799056,8
Nit,Loose-passive,K4o,1.8856757861785134,8
Nit,Loose-passive,K6s,1.9261956130706104,8
Nit,Loose-passive,K8o,1.886754716480374,8
Nit,Loose-passive,K7o,1.998424002722943,8
Nit,Loose-passive,J9o,1.8392218426261833,8
Nit,Loose-passive,J8s,1.8705707619524654,8
Nit,Loose-passive,JTo,1.816024841136181,8
Nit,Loose-passive,K4s,1.919722031259447,8
Nit,Loose-passive,K2s,2.0065159799868972,8
