player,n_events,raw_rate,shrunk_rate
+8vxKf71JwokSNTmVkOACA,10,1.0,0.8149197734581396
+92Jh09rGHgPqXIrJl8V6w,6,0.8333333333333334,0.7665775260645995
+97XwElhIXbKAVFLLMSFWw,1,1.0,0.7611868044621156
+9O6kNPvSdCaKbu+FTC17g,1,1.0,0.7611868044621156
+9Ss0wZNQpfunMFS27pq9g,3,1.0,0.7756603314644116
+9aGOF2UclGpLOsPalajXA,3,0.6666666666666666,0.7453573011613813
+9dd/HNrf1l7ikQj9SLsKg,4,1.0,0.7822585570095759
+9fY2oDhczmdeyrNQ2JySw,1,1.0,0.7611868044621156
+9kSbD8heULQR2notITj8g,3,1.0,0.7756603314644116
+9x9XCqrvdzxKlMDy5YHjQ,3,0.3333333333333333,0.715054270858351
+A16hVdUtqwAHy+MD9lnWg,2,0.5,0.7373997168226745
+AGyaBdgwIiDvo4ELdcwFw,4,0.75,0.7528467923036937
+AJElN9q6SOWIZlCY/9vew,1,1.0,0.7611868044621156
+AQIalox64ADfguGij6oww,1,1.0,0.7611868044621156
+AQQNmcg4uW81KTtDbVJCQ,2,1.0,0.7686497168226745
+AbBRzZ/RXcIGQxWJ7AwnA,1,1.0,0.7611868044621156
+AbIk5tCemaE+JIunw41Xw,1,1.0,0.7611868044621156
+AhzGcPKcgw1wqyhPJ9mQw,1,1.0,0.7611868044621156
+AkmZ6Ki1EGJxvcApTSd0g,2,1.0,0.7686497168226745
+AmviQ3Vum1ektfnPIx50A,1,0.0,0.7289287399459865
+Ap2lbwNS8BNMBbDQvSkcw,1,0.0,0.7289287399459865
+B6anNvC4PlHF773x9NXhg,1,1.0,0.7611868044621156
+BCX1Oo6WY0wHXEJIDsCdw,1,1.0,0.7611868044621156
+BI4vNtRvT3sUQRdUnWfvg,1,1.0,0.7611868044621156
+BR1BRH5HlMc15eVJWLbAA,16,0.6875,0.7303650203983822
+BY2lCmvuRk1L6+zeNOguw,2,1.0,0.7686497168226745
+BaByo/9Yj04T1TOQTl4Rg,4,0.75,0.7528467923036937
+BhpAYKD2TA0Sh2ESfYdIw,3,1.0,0.7756603314644116
+BjR0/aElk2VcD+eSnKgzg,1,1.0,0.7611868044621156
+BpvfMNFT6Rgriuenorwew,3,1.0,0.7756603314644116
+BzeMa3931LZhVGSn0z02w,3,0.3333333333333333,0.715054270858351
+C0ZzlFvdl6xCIQpNlq/kw,1,1.0,0.7611868044621156
+C2t+PzGaN0nClhDbcPZjg,1,0.0,0.7289287399459865
+C3eP/ysyROWbEXJFPswVA,1,1.0,0.7611868044621156
+CQffie6pfuGUSkDDGeJow,2,0.0,0.7061497168226745
+CSYMrmOImBINEaL+HiwYQ,1,1.0,0.7611868044621156
+CUC2aLgSD/9btqQrXgoKQ,1,0.0,0.7289287399459865
+CdoBQAqEEEBznOHs3DYZQ,1,1.0,0.7611868044621156
+CjDyzK3nbbdrO63kcJ7og,1,1.0,0.7611868044621156
+CpAdjBUdSmcBUU520Rjqw,17,0.8235294117647058,0.7786551263473528
+CzncS+tAIx0WbceIEKDFA,3,1.0,0.7756603314644116
+D3/nqY4vmMP5yvMjA/rng,1,1.0,0.7611868044621156
+D8wLBOn8Vowifq4Pww2Xw,1,1.0,0.7611868044621156
+DCR8+nns6rI9aagG7YDUw,14,0.5,0.6726543395073996
+DHDVtq/yarHWm115egYdg,5,0.8,0.759908312523588
+DTAETn0HwsHSSHN+wDp8A,2,0.5,0.7373997168226745
+DTdQVCGTlE4X2smySMyQA,1,1.0,0.7611868044621156
+DZSYT0ePrDrGS0629lr1A,1,0.0,0.7289287399459865
+DqKf9W15cyDVZswS7mgnQ,3,1.0,0.7756603314644116
+E0jHUTh5WtfZ1A28IVaHQ,1,1.0,0.7611868044621156
+E8APC+EwcS6IxsVSBcwcA,3,0.6666666666666666,0.7453573011613813
+EPGH4498BlUObeCXIwdcA,4,0.75,0.7528467923036937
+ESd2qXcH1aEZAsCZhNdeg,2,0.5,0.7373997168226745
+EXcyvgPE+tkExhql36srA,2,1.0,0.7686497168226745
+EgH7/RzHTy+0sqMxsUuYA,1,1.0,0.7611868044621156
+F+tI/jTLCDQ4MSb+26tbQ,1,1.0,0.7611868044621156
+F5RdOxaEp/m5y11/3EHaw,2,0.5,0.7373997168226745
+F8/nGfPMvHbp+qZ8I8WuQ,3,1.0,0.7756603314644116
+F88LkCR+jkigCCzG8d5GQ,5,1.0,0.7884797410950166
+FHgFTwZNdC3sgjP0+I1cA,1,1.0,0.7611868044621156
+FK1q+G3Jm2W2PrBfD5DCQ,4,0.75,0.7528467923036937
+FKSgjNOxvW2GJ0gG0opAg,1,1.0,0.7611868044621156
+FTMb7Ac/TyDTviFOcHtfQ,1,1.0,0.7611868044621156
+FZgOR0PLKInTVeExaC9lA,1,1.0,0.7611868044621156
+FzekeQzxeP5tVsDvJMxvQ,1,1.0,0.7611868044621156
+G1e0bkywECCfYu+VMnHig,3,0.0,0.6847512405553207
+G2gs6FEINGX80haeXT3lg,1,1.0,0.7611868044621156
+G3g/eQkPQBL+qRZGbqW0Q,1,1.0,0.7611868044621156
+G9Ik+ODsIy7txpgHoq1IQ,1,1.0,0.7611868044621156
+GBf8GPGoJwXQzXMWp8OEg,2,0.0,0.7061497168226745
+GFyVeJ8/JaGx4gMP89IRg,1,1.0,0.7611868044621156
+GIGf+rXQXzakyy9hJdoQA,1,0.0,0.7289287399459865
+GMamxqNM8N7N2iQN0iJ4A,1,0.0,0.7289287399459865
+GT89AceGOzzco31/tkEbw,1,1.0,0.7611868044621156
+GuVXiXbu0Ap7iUxuhqqvA,1,1.0,0.7611868044621156
+Gyu9j0FdbXAbZZLnLFX0A,1,1.0,0.7611868044621156
+GzAdPN8Vj8+QAerqd8jHA,3,0.6666666666666666,0.7453573011613813
+H45OQvDmSeVmMBESpv5fA,6,0.6666666666666666,0.7387997482868217
+H6KP8IBMlsdZFLB+5+kuA,3,1.0,0.7756603314644116
+HBenBhoVJ8ZHOWocidOhg,5,0.8,0.759908312523588
+HLx3Ykyv8Muy34i0UfwAQ,3,0.6666666666666666,0.7453573011613813
+HQ24xETNDP/ltIV86eL3g,1,1.0,0.7611868044621156
+Hhc4lDe34oJ3+XZ6maBOg,1,1.0,0.7611868044621156
+HoxQnEZqlxohM22SwUr1Q,1,1.0,0.7611868044621156
+I2SkrqIbcfPvP1i3fszVQ,1,1.0,0.7611868044621156
+I9+Q5UBvmMiQG4o65FO/g,9,0.7777777777777778,0.7588920753416816
+IABTS1jGFBgWVUrGOZcVQ,1,1.0,0.7611868044621156
+ICcHQSjD02LXeNTJmPAfw,2,1.0,0.7686497168226745
+IaiKQvpTrvoSnSE9RCOHw,3,1.0,0.7756603314644116
+IiddNcVzHEzdOr3ARDWCw,1,1.0,0.7611868044621156
+JakGlV+V4ZdoYJ03FnV6g,8,0.875,0.7788629194296206
+JePU/NTU/jeL9d0aUxSAg,1,0.0,0.7289287399459865
+Jgd89wInRnrRoMyX/LvBQ,1,1.0,0.7611868044621156
+JulnY5HM1BJWlTmq4fIxA,1,0.0,0.7289287399459865
+JuoESqYJb0qx91McfkFbA,2,1.0,0.7686497168226745
+Juv1SU27u8iEpoAIPQ7Sw,2,1.0,0.7686497168226745
+KPZi4CkxsU7qZviOPR53g,6,1.0,0.7943553038423773
+KSG/hZ6NXRHDk1WHcV2+Q,5,0.8,0.759908312523588
+KVrDpGsjxYwya2GInUnSg,3,0.6666666666666666,0.7453573011613813
+KWMa4kpghEmNSf2wsgpkg,1,1.0,0.7611868044621156
+KWrN/em8lOcBiwXPxQ50w,2,1.0,0.7686497168226745
+KbcVPNiE01DFvs/5vREOg,14,0.7857142857142857,0.7635634304164906
+KblIivb6tainScpwm14RQ,8,0.5,0.699915551008568
+KnQxaYYnKiSjQJnztcwAQ,7,0.7142857142857143,0.7458592145493401
+KoA72mf9zcR5QWqYnAl9w,1,1.0,0.7611868044621156
+Kz87MT8dD8yP5eqXnsuAg,1,1.0,0.7611868044621156
+LCLXNpEvGQAMlroYMli4g,2,1.0,0.7686497168226745
+LDLVuv2qr38uglT7OsXAw,1,1.0,0.7611868044621156
+LGFKJiIkEdV9Kr84FzklA,2,1.0,0.7686497168226745
+LLEaw4dXSeEXwekFPVO5A,2,1.0,0.7686497168226745
+LLrwYIe86V10PRQOs5EuQ,6,0.6666666666666666,0.7387997482868217
+LLx6kVN+tXAvko+1tD4+w,1,1.0,0.7611868044621156
+LUCdmPncvazF6akjeXCgw,1,1.0,0.7611868044621156
+LdajE6PtP42+u/cdlG/hw,1,0.0,0.7289287399459865
+LoGkAvSTIjiOa0oRW6tvw,1,1.0,0.7611868044621156
+LpafjHr6Wfz3dRTwSmWoQ,11,0.45454545454545453,0.6730924619103801
+LseQ4csMghI3KY4cLSGMQ,1,1.0,0.7611868044621156
+LxSGy4mBkiiMBBWddaGYA,1,1.0,0.7611868044621156
+LzYaTgkqrUdrzfyqRMV0A,3,1.0,0.7756603314644116
+M5RNYkRrhBCXXF7emw0wQ,4,0.75,0.7528467923036937
+MVxbUURIBg6eyM28y7WNQ,2,0.5,0.7373997168226745
+MW5AvcW/eQcu2MI15Lazw,3,1.0,0.7756603314644116
+Mf7XC/3ZgrXmr9lSNCc/w,3,0.3333333333333333,0.715054270858351
+MfdxcoQbLtjl7frCmonGA,2,1.0,0.7686497168226745
+MtQ8sy2DDioxfCFuXbS+Q,3,0.6666666666666666,0.7453573011613813
+NJxvxWYExPlXAlBdyvORg,1,1.0,0.7611868044621156
+Nap6/dHl0XgsfgSY0zJNw,3,1.0,0.7756603314644116
+Nc/2c9FlZN9GTWIl0pt+w,1,0.0,0.7289287399459865
+NcFUhkduR57ws9K8yT85A,4,0.5,0.7234350275978113
+Np/aZDlsqs9qcuxTrtusQ,1,1.0,0.7611868044621156
+Nr4d2bU04FOKCwOlMNu7w,9,0.6666666666666666,0.733251049700656
+Nrkb651+Tenjp24Qqwd7w,1,0.0,0.7289287399459865
+NyOrKiEf/o4pVso6Mg7KQ,5,1.0,0.7884797410950166
+O2YzaLl2bfsTKAY23Y6QQ,6,1.0,0.7943553038423773
+O546dbskrMpTY9liKvGRg,1,1.0,0.7611868044621156
+O5JEGbU8bC8BHW+jdWlIQ,1,1.0,0.7611868044621156
+OKYJtKJs+ZoN7GLRwfHEg,2,1.0,0.7686497168226745
+OQ3WONEvTYjygnm7aSrAQ,3,1.0,0.7756603314644116
+ORk7yalxh9Q2tQE5cjrZg,1,1.0,0.7611868044621156
+OURfAn/V8aA1JIDLh86zg,1,1.0,0.7611868044621156
+Obs2SNSfpovy8yrohgbFg,1,1.0,0.7611868044621156
+OnHsU8cOwxyj4rDdOkL8g,5,0.6,0.7313368839521596
+Ow5H4ZdsSC9t+kqrHuigw,3,1.0,0.7756603314644116
+P6KFbrXK3dmDKIe/pi+hw,3,1.0,0.7756603314644116
+PB6MK9qAEfL8L2QBC381g,2,0.0,0.7061497168226745
+PObXUwAfZXJa15t7rekyA,1,1.0,0.7611868044621156
+PQd0Ryvbwt5e1yYy5VGyg,1,1.0,0.7611868044621156
+PWkW3mvQJlTAu5GsIIVfQ,1,0.0,0.7289287399459865
+PcK9gL7CfUfmc+/8PPY2Q,1,1.0,0.7611868044621156
+Pfi4O8XnDPhAWW/J2Lqtg,2,0.5,0.7373997168226745
+PryL7pKwt+Q3mLoGlK2dg,2,0.5,0.7373997168226745
+Q9XKxrh6dMfmT/R4r4rPQ,1,0.0,0.7289287399459865
+QA76Nm2Aqi05oNeBcs7wQ,1,1.0,0.7611868044621156
+QCQIq0sRDkyhn6DNKI2wQ,1,1.0,0.7611868044621156
+QE+subRv8sW3DZJlEvDCA,1,1.0,0.7611868044621156
+QEyQ7NQfF48J0jdSTEcZw,1,0.0,0.7289287399459865
+QK+cmyga8sTWhg/dum84w,1,1.0,0.7611868044621156
+QKOnaQGRC/0bfi1GIDc8A,1,1.0,0.7611868044621156
+QL/I+zImyzn7mwm1z9ngw,7,1.0,0.7999132686033942
+QcMYHfnv7RmqCckvOyc7A,4,0.75,0.7528467923036937
