player,hands_seen,vpip,pfr,postflop_af,threebet_pct,avg_open_bb,net_bb,clean_hands,bb_per_100
ir5gbSW/z5ds3VR1FPX4yg,6727,0.21911699122937417,0.1327486249442545,1.6223277909738718,0.028735632183908046,3.399761336515513,457.6000000000002,5135,8.911392405063296
iyZxqznXjv3vtvOJymkoLQ,5133,0.19325930255211377,0.12507305669199298,1.3367003367003367,0.034912718204488775,3.6085616438356167,35.0,3851,0.9088548428979486
j/PUKY/T0fLCMsVsPpVjLw,8455,0.20153755174452986,0.1680662329982259,3.1746031746031744,0.054840049854590775,4.0829192546583855,-270.7,6590,-4.107738998482549
jFyZbYBGS+C/XoQpJd4yOA,16659,0.18446485383276306,0.11717389999399724,2.250497017892644,0.03461857379767828,4.105552439708356,-778.8,12337,-6.312717840641971
jGQ4X4ZS9bE4ryPYdu+xag,5449,0.16700311983850247,0.06349788952101303,3.1974522292993632,0.01881720430107527,3.5044025157232706,-17.599999999999966,4260,-0.4131455399061025
jIedEgw4C+FypOKHBt2rTg,8000,0.23525,0.173875,3.0,0.038461538461538464,3.6634556574923547,213.29999999999995,6244,3.416079436258808
jJ9PI/W3yojUSFl3HGN+FQ,16600,0.059759036144578316,0.05746987951807229,2.40625,0.04094881398252185,inf,-42.33333333333386,12695,-0.33346461861625726
jKFD2kbzm6gOXwzQqaHEkA,5783,0.0855957115683901,0.07902472765000865,2.9705882352941178,0.03328509406657019,4.371707317073171,129.89999999999998,4552,2.853690685413005
jT8zlCl7eMvwI9tspZ/zzw,5866,0.19110126150698942,0.14064098192976474,2.5245901639344264,0.027700831024930747,4.002072538860103,-334.2999999999999,4539,-7.3650583829037215
jU/B1zHLBGuyigV6ITEVgQ,6456,0.1364622057001239,0.10269516728624535,2.5454545454545454,0.029874213836477988,4.018573797678275,205.50000000000009,4897,4.196446804165817
jeNu3yMptZCf7BBDNAwD1Q,5752,0.10726703755215578,0.08953407510431155,3.8732394366197185,0.053420195439739415,4.189838337182448,-110.9,4400,-2.5204545454545455
jrGZ+HNUwX1qlwTzStgB3Q,7180,0.2041782729805014,0.16016713091922005,1.7976878612716762,0.04515135967162647,4.0260131950989635,570.6,5513,10.35008162524941
juRNTxD88Br0qG+YRSy+Og,10477,0.1437434380070631,0.10670993605039611,7.615384615384615,0.05467571644042232,inf,1340.4,8175,16.396330275229356
