responder,bettor,n_events,fold_pct_first_half,fold_pct_second_half,fold_pct_delta,call_pct_first_half,call_pct_second_half,raise_pct_first_half,raise_pct_second_half,fold_shift_pvalue
H5Se03ZqSX7tbULXur2MAg,aNpwfA31EREwO+ar4XzBCw,48,0.9583333333333334,1.0,0.04166666666666663,0.041666666666666664,0.0,0.0,0.0,1.0
vWwwFVQNDRrc1S3yPeVmAg,Oe8dllOiCxTSDucrGxg89g,84,0.9761904761904762,1.0,0.023809523809523836,0.0,0.0,0.023809523809523808,0.0,1.0
vWwwFVQNDRrc1S3yPeVmAg,80IuAS7RweimOYh643WA4A,122,0.9836065573770492,1.0,0.016393442622950838,0.01639344262295082,0.0,0.0,0.0,1.0
RBC8rUh9rs5AnBYwhvWxvw,vWwwFVQNDRrc1S3yPeVmAg,71,0.9714285714285714,0.9444444444444444,-0.026984126984127,0.02857142857142857,0.05555555555555555,0.0,0.0,1.0
vWwwFVQNDRrc1S3yPeVmAg,RBC8rUh9rs5AnBYwhvWxvw,62,0.967741935483871,1.0,0.032258064516129004,0.0,0.0,0.03225806451612903,0.0,1.0
+DCR8+nns6rI9aagG7YDUw,vWwwFVQNDRrc1S3yPeVmAg,40,0.95,0.95,0.0,0.05,0.05,0.0,0.0,1.0
X0J/vRFHXel85M3EatB1NQ,A7HYt6O9V43zHPfctvan1A,44,0.9545454545454546,0.9545454545454546,0.0,0.045454545454545456,0.045454545454545456,0.0,0.0,1.0
80IuAS7RweimOYh643WA4A,RBC8rUh9rs5AnBYwhvWxvw,98,0.9795918367346939,0.9795918367346939,0.0,0.0,0.02040816326530612,0.02040816326530612,0.0,1.0
RBC8rUh9rs5AnBYwhvWxvw,80IuAS7RweimOYh643WA4A,49,0.9166666666666666,0.92,0.0033333333333334103,0.041666666666666664,0.08,0.041666666666666664,0.0,1.0
32v/n2Oc1DwIrT8h11pOUQ,e2TGQXxC2+TGDuZ/UzPLMg,46,0.9565217391304348,0.9565217391304348,0.0,0.043478260869565216,0.0,0.0,0.043478260869565216,1.0
32v/n2Oc1DwIrT8h11pOUQ,80IuAS7RweimOYh643WA4A,46,0.9565217391304348,1.0,0.04347826086956519,0.043478260869565216,0.0,0.0,0.0,1.0
ce6CDToh3iAQgbSE/Jzv3Q,vWwwFVQNDRrc1S3yPeVmAg,67,0.9393939393939394,0.9411764705882353,0.0017825311942958333,0.06060606060606061,0.058823529411764705,0.0,0.0,1.0
80IuAS7RweimOYh643WA4A,e2TGQXxC2+TGDuZ/UzPLMg,116,0.9827586206896551,0.9655172413793104,-0.01724137931034475,0.017241379310344827,0.017241379310344827,0.0,0.017241379310344827,1.0
e2TGQXxC2+TGDuZ/UzPLMg,80IuAS7RweimOYh643WA4A,112,0.9821428571428571,0.9821428571428571,0.0,0.0,0.017857142857142856,0.017857142857142856,0.0,1.0
ce6CDToh3iAQgbSE/Jzv3Q,e2TGQXxC2+TGDuZ/UzPLMg,49,1.0,0.96,-0.040000000000000036,0.0,0.04,0.0,0.0,1.0
vWwwFVQNDRrc1S3yPeVmAg,7z9orGDJpUnEvIwifKWQCA,56,0.9642857142857143,0.9285714285714286,-0.0357142857142857,0.0,0.0,0.03571428571428571,0.07142857142857142,1.0
vWwwFVQNDRrc1S3yPeVmAg,32v/n2Oc1DwIrT8h11pOUQ,77,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
32v/n2Oc1DwIrT8h11pOUQ,vWwwFVQNDRrc1S3yPeVmAg,96,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
e2TGQXxC2+TGDuZ/UzPLMg,32v/n2Oc1DwIrT8h11pOUQ,51,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
VNd4+vrjQO9Y+cvfFOO3ew,vWwwFVQNDRrc1S3yPeVmAg,51,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
FxQOnoIoRpE2J7gMjaYuSg,80IuAS7RweimOYh643WA4A,40,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
rPZEgXO0N8XU0ANsIZiqDA,80IuAS7RweimOYh643WA4A,52,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
